geo,name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
mng,Mongolia,,,,0.00198,0.0036,0.01983,0.03539,0.07022,0.13541,0.28355,1.23382,1.50364,2.84092,3.42608,3.94086,4.89954,6.77118,6.98959,7.43706,9.18362,9.66655,9.83638,9.34756,11.393,12.9008,14.5529
moz,Mozambique,,,,,,,,,0.01059,0.02991,0.05103,0.0614,0.07532,0.11998,0.12096,0.11517,0.14342,0.16035,0.17046,0.21885,0.24171,0.23415,0.22739,0.20656,0.19778,
mrt,Mauritania,,,,,,,,0.00558,0.03229,0.12932,0.18459,0.20627,0.17131,0.17472,0.18505,0.2017,0.20787,0.24302,0.27262,0.30012,0.30486,0.24207,0.40123,0.4059,0.41523,0.59041
mus,Mauritius,,,,,0.02309,0.09532,0.20515,0.42936,2.20727,2.76735,4.11969,5.69794,7.32216,9.1921,10.9218,12.5796,14.0866,15.2754,16.4576,19.0601,21.3139,23.883,25.1866,25.7029,26.1964,26.9082
mwi,Malawi,,,,,,0.00057,0.0011,0.00315,,0.00688,0.00705,0.00718,0.00732,0.01133,0.00788,0.05431,0.05151,0.03427,0.04951,0.05996,0.0613,0.0597,0.06274,0.06708,0.07241,0.07956
mys,Malaysia,,,,0.017,0.08008,0.44734,0.99973,1.86987,2.84277,3.8343,4.82153,5.52395,7.32069,8.59576,9.847,9.73943,9.97194,9.80956,8.55246,8.30705,8.1918,8.86497,9.91102,10.8922,12.1754,13.0287
nam,Namibia,,,,,,,,0.00681,0.00994,0.01268,0.01563,0.02296,0.4472,0.82047,1.09598,1.58668,1.78242,2.96542,2.63786,2.62397,2.43865,2.60178,2.88695,3.17813,3.29191,3.52007
ner,Niger,,,,,,,0.00058,0.00154,0.00243,0.00326,0.00402,0.00627,0.00906,0.01231,0.02057,0.03456,0.15588,0.13635,0.03726,0.04035,,0.04793,0.0506,,,0.10762
nga,Nigeria,,,,,,,,0.00034,,0.03497,0.04301,0.05058,0.05947,,0.0081,0.00831,0.00847,0.00823,0.05522,0.05535,0.03609,0.03979,0.03052,0.03016,0.04338,0.05128
nic,Nicaragua,,,0.01394,0.03153,0.04503,0.08449,0.09484,0.19719,0.3514,0.50116,0.77488,1.39091,1.27721,1.4623,1.71678,2.20071,1.83646,1.89137,2.84026,3.32673,3.00642,3.35641,4.42253,4.5138,5.00782,5.43031
nld,Netherlands,0.4802,,1.61905,2.88085,7.18911,12.1465,19.5184,24.9002,31.4796,33.3124,34.9757,36.7355,37.7372,38.5614,39.3374,40.0305,40.2288,41.088,41.9814,42.0989,42.5152,42.5293,42.6667,42.9461,43.5643,43.2644
nor,Norway,,,0.51876,1.96162,4.52416,8.73575,14.6277,21.4433,26.704,30.9463,33.083,34.5488,35.2485,36.0526,37.0178,37.6117,38.485,39.5096,40.2403,41.0328,41.5279,42.2722,44.3863,44.9392,45.6645,45.4377
npl,Nepal,,,,,,,,,0.00363,0.0409,0.04446,0.06285,0.22009,0.34465,0.83755,1.12888,0.9056,1.08794,0.80193,1.79644,2.82041,3.62848,4.38436,4.30873,4.83217,
nru,Nauru,,,,,,,,,,,,,9.45932,,,,,,,,,,,,9.95678,
nzl,New Zealand,,,0.12075,0.44368,1.10095,2.06335,4.69391,7.76299,11.2436,20.1981,21.4688,23.7515,25.1163,26.8784,28.8326,29.5475,31.1741,31.4454,32.4618,32.8918,33.6194,34.0228,34.813,35.2628,36.3045,37.8531
omn,Oman,,,,,0.00415,0.0057,0.02732,0.52723,0.77748,0.75935,1.17948,1.43005,1.92528,2.40586,3.23965,4.09822,4.39661,5.46555,6.35484,7.47817,9.17127,10.2442,11.383,11.5853,10.8833,10.8793
pak,Pakistan,,,,,,,,0.00832,0.01481,0.02447,0.0887,0.20148,0.39625,0.57243,0.7304,0.77134,0.93748,0.82525,1.13035,1.03819,0.95287,0.88151,1.03954,1.23144,1.28372,1.35622
pan,Panama,,,,0.25316,0.39098,0.47147,0.51508,0.53024,3.34036,4.37188,5.60439,6.57564,7.11835,7.65785,7.84035,8.03241,7.96652,7.98397,10.6707,10.7635,12.9616,12.6486,13.8347,14.8381,16.3861,18.1341
per,Peru,,0.00029,0.00405,,0.13706,0.34049,0.81721,1.25483,1.71194,1.99861,2.52642,2.8642,3.20602,4.13515,4.88246,5.40887,5.86754,6.56473,6.87076,7.37508,8.09511,7.38779,8.41187,9.05771,9.45024,10.4364
phl,Philippines,,,,0.01228,0.02528,0.06491,0.10302,0.13975,0.29609,0.54477,1.12808,1.82489,,1.82293,2.14284,2.52047,2.79472,2.7537,2.79705,3.14401,3.4609,5.69731,7.08109,8.50898,7.63947,6.53931
plw,Palau,,,,,,,0.37336,0.50457,0.49507,0.52326,0.58393,0.75899,1.2992,2.86536,5.05488,10.2278,6.26588,6.88801,,,,,,,6.99364,7.33345
png,Papua New Guinea,,,,,,,,,,,0.04158,0.06012,0.07991,0.09543,0.11384,0.1361,0.15487,0.17156,0.1897,0.19611,,0.20814,0.21394,0.20973,0.21464,
pol,Poland,,,,0.03137,0.3183,0.51239,2.29479,2.47915,7.64661,10.9783,11.7452,14.7255,15.3785,18.2475,18.008,18.3774,18.9046,18.9868,19.1513,19.9532,20.5314,20.5043,21.9256,22.8166,23.8373,26.114
prt,Portugal,,0.0029,0.24461,0.95917,2.50254,4.80216,7.99867,11.0963,13.5278,14.4788,15.481,18.0766,20.1036,21.2468,22.7408,24.5103,27.4622,30.3,32.6259,34.6016,36.6543,38.3606,40.1215,41.5146,42.937,44.1107
pry,Paraguay,,,0.00294,0.00578,0.0095,0.00939,0.05661,0.10279,0.10899,0.15469,0.22802,1.3654,1.55966,2.0655,2.30883,2.61726,3.04993,3.49296,3.94711,4.57926,4.98959,6.32667,8.51592,10.8119,11.1528,12.8836
pse,Palestine,,,,,,,0.00052,0.20979,0.74544,1.48923,,,,3.7893,4.4215,4.93748,5.32492,6.07091,6.92213,7.58785,7.50601,7.35978,7.43459,8.01283,7.93673,8.37057
qat,Qatar,,,,,0.03206,0.40165,1.41142,3.10259,4.80793,7.25413,7.4409,9.12708,8.5294,9.08921,9.70717,10.6013,10.1638,9.7957,9.76074,9.47867,9.70272,10.1747,10.5632,11.0796,12.6414,11.6411
rou,Romania,,,,0.02737,0.07258,0.90817,0.48715,1.7776,5.18166,9.35378,12.1504,13.6687,14.6854,16.1875,17.5675,18.8919,20.114,21.449,22.4983,24.1489,25.9702,27.0606,29.3141,31.695,33.2116,34.6706
rus,Russia,,,,,0.00754,0.23526,0.46494,1.09891,2.01245,3.40609,6.45288,8.96648,10.9077,12.2427,14.5008,16.4209,17.2161,18.4997,18.8798,21.2764,21.8963,22.4233,23.1557,23.7409,24.6346,25.8239
rwa,Rwanda,,,,,,,0.01302,0.01303,0.01832,0.02663,0.01142,0.02201,0.03821,0.08176,0.05077,0.02507,0.02567,0.18149,0.18224,0.17849,0.06007,0.06954,0.13535,0.23887,0.34995,0.44556
sau,Saudi Arabia,,,,0.08215,0.19419,0.24476,0.34927,0.32976,1.0167,2.78571,4.50062,5.93665,6.80363,7.47523,9.38626,,,21.1362,20.8268,21.6139,22.4661,22.3214,25.4597,33.7974,41.823,43.5732
sdn,Sudan,,,,,,,0.0026,0.00406,0.00645,0.12971,0.13272,,0.03812,0.04823,0.06714,0.06803,0.05322,0.07019,0.06393,0.07152,0.07088,0.07193,0.06151,0.0633,0.06044,
sen,Senegal,,,,,0.01147,0.02223,0.06984,0.16046,0.25153,0.32397,0.39305,0.47595,0.62243,0.71544,0.71794,0.77846,0.73037,0.68943,0.65418,0.72242,0.81573,0.92978,1.05641,1.20966,1.40365,1.97393
sgp,Singapore,0.25865,0.75634,1.70993,3.66846,6.5109,10.0792,13.0657,15.3736,17.8781,20.1457,22.2854,24.8261,26.362,27.1736,27.068,27.7296,27.0067,26.8979,28.5393,26.3326,26.5087,26.5276,26.8623,27.5211,27.551,27.4344
slb,Solomon Islands,,,,,,,0.04214,0.09315,0.13222,0.19994,0.29482,0.38599,0.4732,0.43946,0.37168,0.31667,0.2164,0.22208,0.24744,0.17005,0.20984,0.14352,0.13432,0.13113,0.10703,
sle,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,0.00222,0.00227,0.00227,,
slv,El Salvador,,,,,,0.32676,0.4883,0.70458,1.02434,1.49357,2.04782,2.47022,2.88838,3.38252,3.95978,4.63325,5.17471,5.70859,6.3751,7.26258,7.91447,8.43878,9.39905,9.80538,11.1497,11.6272
smr,San Marino,,,,,,2.15494,3.8152,4.26991,5.11368,5.45436,16.4978,18.099,19.5664,20.3239,29.5874,30.4313,34.6924,34.3382,35.1278,30.5428,31.446,31.977,31.6374,34.7102,35.7876,
som,Somalia,,,,,,,,,,,,,,,0.321,0.46621,0.52476,0.5939,0.64117,0.65699,,0.61132,0.71466,0.689,0.66847,0.72296
srb,Serbia,,,,,,,,0.44796,1.63755,4.4045,6.21193,8.06268,11.7957,13.4423,14.8105,16.4164,16.7418,18.6569,20.6094,21.1493,22.2891,23.4425,25.1835,26.4794,29.3458,31.2695
ssd,South Sudan,,,,,,,,,,,,,0.00002,0.00004,0.00016,0.0009,0.00089,0.00135,0.00139,0.00195,0.00198,0.00192,,0.00184,0.00181,0.00174
stp,Sao Tome and Principe,,,,,,,,,0.07547,0.1815,0.19794,0.24908,0.32178,0.39699,0.41069,0.50635,0.55904,0.65604,0.6996,0.7146,0.74077,0.76948,1.15529,1.54216,2.0247,2.5014
sur,Suriname,,,,,0.01893,0.04265,0.08172,0.21317,0.50591,0.79188,1.07139,1.66842,2.75366,4.16345,5.20197,6.5191,8.06433,9.05924,12.1167,11.9952,12.2059,13.2741,15.069,19.9,20.026,17.5374
svk,Slovak Republic,,,,,0.07592,0.41779,1.46509,3.37639,5.66531,10.1667,11.2414,14.3927,16.2644,17.6561,19.3435,20.4986,21.9975,23.5009,24.6264,25.8591,27.6954,29.1811,31.1925,32.6061,33.9988,33.1726
svn,Slovenia,,,,0.27643,2.84875,2.91053,5.77208,9.84769,13.969,17.1127,21.0013,22.0588,23.013,24.1298,24.8055,25.5111,27.0023,27.6233,28.5889,29.1804,29.6086,30.1395,30.993,31.5503,32.0105,31.8815
swe,Sweden,,,2.80655,6.59845,9.41172,12.2231,15.6775,27.9298,27.41,30.3915,31.4844,31.672,31.984,32.0391,32.283,32.7855,33.8414,35.6778,37.0822,38.3266,38.7413,39.2906,40.368,40.8351,40.6093,40.734
swz,Eswatini,,,,,,,,,,,0.0703,0.13609,0.32906,0.71782,0.30511,0.37168,0.44883,0.52502,0.60896,1.34192,1.87103,2.04369,2.29004,2.55281,2.1853,2.76366
syc,Seychelles,,,,,,,0.39589,1.06199,2.73865,3.81882,3.69218,4.86393,7.15271,9.70069,10.6256,12.1566,11.301,12.5152,12.7799,13.5386,17.1149,22.9273,29.0678,33.5645,29.8314,30.7719
syr,Syria,,,,,,,0.00327,0.01435,0.02657,0.03331,0.05109,0.1577,0.31054,0.5302,1.06396,1.59758,2.47214,3.75431,5.2601,7.40231,6.78669,7.33617,7.35459,7.28563,7.16283,6.86125
tcd,Chad,,,,,,,,,,,,0.0025,0.00269,0.12387,0.14726,0.10729,0.0714,0.0774,0.03391,0.00212,0.00207,0.00041,,,,
tgo,Togo,,,,,,,,,,0.01941,0.03001,0.06358,0.40438,0.49214,0.58435,0.09492,0.16875,0.8622,0.62053,0.62739,0.31671,0.37692,0.60793,0.74933,1.03724,1.22816
tha,Thailand,,,,0.00253,,0.0179,0.25175,0.84144,1.34231,1.92741,3.06537,3.85237,4.74173,5.64434,6.50814,7.43359,7.74748,8.83035,10.1877,11.5345,12.8741,14.1338,16.0218,17.3169,17.5126,15.7473
tjk,Tajikistan,,,,,,0.00015,,,,0.05066,0.04985,0.05874,0.06142,0.06416,0.06738,0.07059,0.0724,0.06941,0.06768,0.06604,,0.06296,0.06154,0.0602,0.06128,
tkm,Turkmenistan,,,,,,,,,,,0.0014,0.00853,0.01299,0.01935,0.0241,0.03031,0.03786,0.45369,0.73437,1.15619,1.71364,2.59674,3.40423,4.08263,5.21711,
tls,Timor-Leste,,,,,,0.00098,0.0014,0.00232,0.00297,0.00498,0.00688,0.04449,0.0461,0.04954,0.05287,0.06041,0.08698,0.0853,,0.26732,0.00549,0.00684,0.00626,0.01015,0.01001,0.00578
ton,Tonga,,,,,0.01059,0.02106,0.31788,0.61038,0.59575,0.73084,0.67371,0.93281,1.02421,1.20852,1.39587,1.58763,1.68841,2.31679,2.84296,2.84749,2.38616,3.50434,4.73019,6.45748,8.17387,
tto,Trinidad and Tobago,,,,,0.01321,0.06603,0.31463,0.79902,1.51711,2.59936,6.22753,9.43087,11.7441,12.3527,14.3474,15.0425,17.4585,19.4881,17.7853,22.6102,23.2707,22.8528,25.4399,24.9299,26.0332,26.8942
tun,Tunisia,,,,,0.00026,0.00257,0.02793,0.17135,0.42377,0.91859,2.15627,3.50106,4.47896,5.13831,4.78951,4.66715,5.03392,5.03389,5.55369,6.88198,8.6185,10.0542,11.1468,12.422,13.9309,14.1436
tur,Turkey,,,,0.01648,0.03163,0.29385,0.84256,2.29306,3.95984,6.71904,8.04469,8.90126,9.67754,10.2289,10.4644,11.6401,11.3619,11.8786,12.8591,14.3529,15.8823,16.6733,19.4384,20.9211,21.823,22.4592
tuv,Tuvalu,,,,,,,0.50937,1.50905,2.48608,2.65174,2.80981,0.95593,2.26116,4.1744,4.1156,4.09054,4.09687,4.10472,4.11711,4.14022,,,,4.41436,4.52362,
tza,Tanzania,,,,,,,,0.00661,0.00744,0.00819,0.01509,0.01592,0.01688,0.06141,0.08723,0.11557,0.16802,0.20376,0.59169,1.37184,1.49944,1.75692,1.86248,1.97842,2.20859,2.49959
uga,Uganda,,,,,,,,0.00304,0.0042,0.00627,0.01571,0.01908,0.04322,0.10647,0.11183,0.11744,0.15166,0.21508,0.23741,,,0.07528,0.07782,0.08388,0.08508,0.0913
ukr,Ukraine,,,,,,,,0.27723,1.11549,1.72465,3.46422,4.14771,6.4549,6.95621,8.03755,8.85843,9.30621,11.6437,12.0343,12.3535,12.8033,16.1591,18.617,18.2678,17.5398,19.675
ury,Uruguay,,,,,,,0.82238,1.47725,3.24006,5.0079,7.40515,9.5914,11.5576,14.214,17.4093,22.033,25.0351,26.7497,27.2743,28.1333,28.7931,29.8013,31.2948,32.5451,33.4866,32.4032
usa,USA,0.25591,0.98656,2.51164,4.50008,6.92533,9.57005,12.7576,17.2991,20.1646,23.7553,25.291,25.9695,27.172,28.117,29.1736,29.9996,30.2709,31.3412,32.1144,32.5703,33.0559,33.8352,35.7157,37.0074,37.4888,38.1475
uzb,Uzbekistan,,,,,,0.01072,0.02118,0.03138,0.03236,0.07084,0.2399,0.3176,0.4157,0.51264,0.7538,1.03048,2.71465,5.81406,8.77864,10.4346,12.7373,10.5554,15.807,21.8944,25.7992,30.2699
vct,St. Vincent and the Grenadines,,,,0.07136,0.95812,1.0129,1.16985,3.24322,5.01544,7.14779,8.43391,10.4128,11.3697,12.1163,12.5221,13.5053,13.6848,15.8564,20.5597,18.2401,23.4575,20.8463,23.8906,27.102,28.9967,30.4936
ven,Venezuela,,,0.01824,0.14666,0.30725,0.45185,0.79804,1.3298,1.97478,3.10247,3.97495,4.92838,5.80665,6.22109,6.89152,7.46662,7.93309,8.47032,8.49644,8.53199,8.73797,8.85037,9.00606,9.24244,9.58036,10.6381
vnm,Vietnam,,,,,0.00137,0.01154,0.06561,0.25901,0.62867,1.54736,2.40556,3.71753,4.19566,4.33851,5.33499,5.68886,6.54511,8.24968,9.67902,11.841,13.5025,15.2329,17.0263,19.5362,21.3681,22.6807
vut,Vanuatu,,,,,,0.00747,0.01118,0.02799,0.044,0.05875,0.08815,0.21484,0.20986,0.13841,0.12456,0.12182,1.75569,1.6148,1.61198,,,2.70151,0.93188,1.03214,1.12635,1.23342
wsm,Samoa,,,,,,,0.01718,0.03476,0.05221,0.06887,0.08416,0.10443,0.10361,,0.55166,0.62441,1.01031,1.0328,1.06585,0.8237,0.8151,0.80656,0.79832,0.79147,0.87754,
yem,Yemen,,,,,,,,0.00657,0.01181,0.04523,0.10354,0.20827,0.31397,0.39517,0.58839,0.87606,1.12485,1.26768,0.86025,1.11512,1.13343,1.08797,1.08206,1.09217,1.27124,
zaf,South Africa,,,,,0.00556,0.04188,0.12247,0.33399,0.67025,0.74809,0.83342,0.92985,1.41945,1.71148,2.05866,2.954,3.06919,2.48459,2.00974,1.94879,1.88868,2.09834,2.15159,2.75541,3.12297,3.40566
zmb,Zambia,,,0.00021,0.0003,0.00045,0.00083,0.0022,0.00213,0.01928,0.03183,0.0438,0.07933,0.07352,0.1137,0.10057,0.08732,0.1291,0.14263,0.18791,0.2059,0.40186,0.48013,0.4319,0.41111,0.42895,0.68139
zwe,Zimbabwe,,,,0.00644,0.02355,0.05221,0.07251,0.08159,0.08072,0.11879,0.1389,0.3586,0.24707,0.25008,0.52038,0.74153,1.07152,1.13888,1.1701,1.26454,1.3506,1.33861,1.31038,1.29981,1.6215,1.57458
